date,AAPL,AMAT,AMD,CSCO,IBM,INTC,MSFT,MU,NVDA,ORCL,WDC
1985-09-03,9363200.0,1292800.0,777400.0,,4079200.0,5212800.0,,1137000.0,,,274000.0
1985-09-04,11888800.0,6105600.0,795600.0,,2949200.0,8068800.0,,1206000.0,,,842800.0
1985-09-05,8204000.0,268800.0,571600.0,,3956800.0,37296000.0,,322000.0,,,807200.0
1985-09-06,23200800.0,2176000.0,674400.0,,4247600.0,28656000.0,,1274000.0,,,2472800.0
1985-09-09,33079200.0,716800.0,577000.0,,4435200.0,20092800.0,,1735000.0,,,710200.0
1985-09-10,30441600.0,2073600.0,879400.0,,3779200.0,17160000.0,,568000.0,,,289000.0
1985-09-11,21772800.0,10969600.0,962000.0,,3344000.0,26083200.0,,636000.0,,,166200.0
1985-09-12,27792800.0,1318400.0,889800.0,,5554000.0,51787200.0,,628000.0,,,100200.0
1985-09-13,17634400.0,2982400.0,777600.0,,4892000.0,42388800.0,,409000.0,,,164600.0
1985-09-16,9245600.0,4300800.0,450000.0,,2749200.0,36225600.0,,283000.0,,,33600.0
1985-09-17,45936800.0,3225600.0,497200.0,,3927600.0,16113600.0,,711000.0,,,357400.0
1985-09-18,30021600.0,4582400.0,825600.0,,6550800.0,40747200.0,,444000.0,,,319800.0
1985-09-19,46580800.0,4108800.0,1410000.0,,5976800.0,47990400.0,,3206000.0,,,512000.0
1985-09-20,33807200.0,2752000.0,670200.0,,4362000.0,24067200.0,,507000.0,,,2226000.0
1985-09-23,29646400.0,512000.0,777400.0,,6619200.0,26860800.0,,677000.0,,,694600.0
1985-09-24,22024800.0,2880000.0,396000.0,,3756000.0,13180800.0,,701000.0,,,508000.0
1985-09-25,26124000.0,8064000.0,406800.0,,8550000.0,13430400.0,,406000.0,,,334000.0
1985-09-26,13372800.0,8243200.0,533200.0,,8502800.0,26140800.0,,230000.0,,,308200.0
1985-09-27,1724800.0,166400.0,0.0,,4400.0,4958400.0,,73000.0,,,0.0
1985-09-30,9161600.0,3840000.0,436000.0,,4222000.0,20198400.0,,731000.0,,,798800.0
1985-10-01,22086400.0,1651200.0,686200.0,,5661600.0,12724800.0,,1641000.0,,,928200.0
1985-10-02,5376000.0,1830400.0,1074600.0,,5931600.0,24585600.0,,3510000.0,,,136400.0
1985-10-03,12230400.0,1139200.0,554400.0,,5625600.0,40128000.0,,652000.0,,,224200.0
1985-10-04,17382400.0,2803200.0,655400.0,,4077600.0,32721600.0,,355000.0,,,413800.0
