Ticker,Date,Close Price,Market Cap,Volume
XRX,04/30/2007,36.1529," 17,340.9 "," 23,567,102 "
XRX,05/31/2007,36.8759," 17,687.7 "," 26,690,546 "
XRX,06/29/2007,36.1138," 17,322.2 "," 25,422,058 "
XRX,07/31/2007,34.1205," 16,366.1 "," 34,012,191 "
XRX,08/31/2007,33.4756," 16,031.2 "," 39,537,594 "
XRX,09/28/2007,33.8860," 16,227.7 "," 20,672,829 "
XRX,10/31/2007,34.0814," 16,122.0 "," 24,181,977 "
XRX,11/30/2007,32.9870," 15,604.3 "," 23,981,726 "
XRX,12/31/2007,31.7204," 14,966.5 "," 20,885,709 "
XRX,01/31/2008,30.2313," 14,263.9 "," 39,378,023 "
XRX,02/29/2008,28.8011," 13,488.2 "," 25,890,238 "
XRX,03/31/2008,29.4134," 13,736.0 "," 28,801,038 "
XRX,04/30/2008,27.4486," 12,560.8 "," 27,459,274 "
XRX,05/30/2008,26.6823," 12,210.2 "," 30,885,012 "
XRX,06/30/2008,26.7249," 12,192.2 "," 37,759,957 "
XRX,07/31/2008,26.8825," 11,897.3 "," 43,127,509 "
XRX,08/29/2008,27.4541," 12,150.2 "," 22,846,102 "
XRX,09/30/2008,22.8040," 10,056.9 "," 33,081,783 "
XRX,10/31/2008,15.8620," 6,942.1 "," 56,268,516 "
XRX,11/28/2008,13.8248," 6,050.5 "," 39,580,160 "
XRX,12/31/2008,15.8508," 6,898.8 "," 38,469,698 "
XRX,01/30/2009,13.2057," 5,747.6 "," 34,620,711 "
XRX,02/27/2009,10.3020," 4,479.6 "," 27,828,242 "
XRX,03/31/2009,9.1221," 3,934.8 "," 40,448,404 "
XRX,04/30/2009,12.2497," 5,283.8 "," 37,001,527 "
XRX,05/29/2009,13.6330," 5,880.6 "," 41,155,322 "
XRX,06/30/2009,13.0750," 5,603.8 "," 28,093,847 "
XRX,07/31/2009,16.5254," 7,082.6 "," 27,147,380 "
XRX,08/31/2009,17.4535," 7,517.6 "," 26,798,765 "
XRX,09/30/2009,15.6913," 6,726.7 "," 91,793,898 "
XRX,10/30/2009,15.2453," 6,536.7 "," 151,417,840 "
XRX,11/30/2009,15.6102," 6,693.2 "," 73,793,366 "
XRX,12/31/2009,17.2374," 7,353.8 "," 64,275,458 "
XRX,01/29/2010,17.7671," 7,579.8 "," 75,212,916 "
XRX,02/26/2010,19.0915," 12,742.0 "," 77,687,117 "
XRX,03/31/2010,19.9532," 13,258.8 "," 71,109,291 "
XRX,04/30/2010,22.3066," 15,029.1 "," 103,715,486 "
XRX,05/28/2010,19.0527," 12,838.9 "," 105,059,454 "
XRX,06/30/2010,16.5341," 11,087.5 "," 94,812,684 "
XRX,07/30/2010,20.0301," 13,431.9 "," 101,284,221 "
XRX,08/31/2010,17.3670," 11,679.8 "," 65,425,574 "
XRX,09/30/2010,21.3711," 14,314.5 "," 69,321,458 "
XRX,10/29/2010,24.1565," 16,228.8 "," 68,457,080 "
XRX,11/30/2010,23.6630," 15,897.3 "," 54,126,920 "
XRX,12/31/2010,23.8745," 15,980.5 "," 43,884,659 "
XRX,01/31/2011,22.0093," 14,732.0 "," 71,254,924 "
XRX,02/28/2011,22.2788," 15,044.0 "," 57,714,056 "
XRX,03/31/2011,22.1600," 14,904.1 "," 65,724,450 "
XRX,04/29/2011,20.9948," 14,120.4 "," 69,907,495 "
XRX,05/31/2011,21.2445," 14,306.1 "," 63,919,808 "
XRX,06/30/2011,21.7539," 14,586.3 "," 62,731,201 "
XRX,07/29/2011,19.4970," 13,073.1 "," 67,929,756 "
XRX,08/31/2011,17.3446," 11,648.8 "," 120,103,411 "
XRX,09/30/2011,14.6476," 9,782.2 "," 77,327,866 "
XRX,10/31/2011,17.1904," 11,480.4 "," 86,997,168 "
XRX,11/30/2011,17.1273," 11,304.5 "," 62,384,033 "
XRX,12/30/2011,16.8156," 11,040.9 "," 49,957,261 "
XRX,01/31/2012,16.3720," 10,749.7 "," 73,038,110 "
XRX,02/29/2012,17.3860," 10,961.4 "," 61,465,285 "
XRX,03/30/2012,17.1456," 10,755.0 "," 50,306,184 "
XRX,04/30/2012,16.5193," 10,485.5 "," 59,852,647 "
XRX,05/31/2012,15.3302," 9,730.7 "," 77,000,132 "
XRX,06/29/2012,16.8045," 10,606.8 "," 61,193,929 "
XRX,07/31/2012,14.7973," 9,058.9 "," 68,602,201 "
XRX,08/31/2012,15.7368," 9,634.1 "," 50,365,020 "
XRX,09/28/2012,15.7643," 9,594.9 "," 48,321,767 "
XRX,10/31/2012,13.8313," 8,195.2 "," 65,848,655 "
XRX,11/30/2012,14.6260," 8,666.0 "," 50,832,056 "
XRX,12/31/2012,14.7383," 8,678.8 "," 49,683,162 "
XRX,01/31/2013,17.3099," 9,802.4 "," 73,712,064 "
XRX,02/28/2013,17.5260," 9,925.3 "," 42,802,222 "
XRX,03/28/2013,18.7113," 10,525.0 "," 41,014,236 "
XRX,04/30/2013,18.6678," 10,535.4 "," 59,332,972 "
XRX,05/31/2013,19.1247," 10,793.3 "," 44,574,440 "
XRX,06/28/2013,19.8612," 11,137.1 "," 43,440,432 "
XRX,07/31/2013,21.2408," 11,955.6 "," 50,217,462 "
XRX,08/30/2013,21.8539," 12,300.7 "," 61,182,802 "
XRX,09/30/2013,22.6578," 12,682.8 "," 66,407,767 "
XRX,10/31/2013,21.8871," 12,237.3 "," 66,092,810 "
XRX,11/29/2013,25.0579," 14,010.1 "," 56,077,702 "
XRX,12/31/2013,26.9240," 14,982.7 "," 43,511,208 "
XRX,01/31/2014,24.0037," 12,893.3 "," 82,181,750 "
XRX,02/28/2014,24.3135," 13,022.6 "," 68,700,279 "
XRX,03/31/2014,25.1428," 13,389.9 "," 54,952,706 "
XRX,04/30/2014,26.9005," 14,112.9 "," 60,119,645 "
XRX,05/30/2014,27.4791," 14,416.4 "," 40,278,309 "
XRX,06/30/2014,27.8167," 14,521.5 "," 37,841,223 "
XRX,07/31/2014,29.6503," 15,478.7 "," 53,167,833 "
XRX,08/29/2014,30.8802," 15,925.0 "," 35,098,725 "
XRX,09/30/2014,29.7233," 15,256.2 "," 42,603,110 "
XRX,10/31/2014,29.8357," 15,159.9 "," 56,666,225 "
XRX,11/28/2014,31.3634," 15,936.1 "," 28,290,235 "
XRX,12/31/2014,31.2770," 15,822.0 "," 34,588,733 "
XRX,01/30/2015,29.7199," 15,034.3 "," 34,058,247 "
