date,manager,profit,flow,equity_sod,roe
4/26/2016,PAR,-2264639.51,0,4799111071,-0.000472
4/27/2016,PAR,-21191146.49,0,4796846432,-0.004418
4/28/2016,PAR,-37541381.52,0,4775655285,-0.007861
4/29/2016,PAR,8334048.51,0,4738113903,0.001759
5/2/2016,PAR,26020344.14,0,4746447952,0.005482
5/3/2016,PAR,-37817779.14,0,4772468296,-0.007924
5/4/2016,PAR,-17045963.13,0,4734650517,-0.0036
5/5/2016,PAR,43498.24,0,4717604554,9.00E-06
5/6/2016,PAR,41335664.09,0,4717648052,0.008762
5/9/2016,PAR,26896364.04,0,4758983716,0.005652
5/10/2016,PAR,39105477.94,0,4785880080,0.008171
5/11/2016,PAR,-49558479.64,0,4824985558,-0.010271
5/12/2016,PAR,-26329913.43,0,4775427079,-0.005514
5/13/2016,PAR,-9256294.55,0,4749097165,-0.001949
5/16/2016,PAR,16272984.52,0,4739840871,0.003433
5/17/2016,PAR,-26593025.09,0,4756113855,-0.005591
5/18/2016,PAR,17900935.1,0,4729520830,0.003785
5/19/2016,PAR,-67544068.09,0,4747421765,-0.014228
5/20/2016,PAR,52642900.41,0,4679877697,0.011249
5/23/2016,PAR,-14577524.9,0,4732520597,-0.00308
5/24/2016,PAR,54766858.09,0,4717943073,0.011608
5/25/2016,PAR,21823327.33,0,4772709931,0.004573
5/26/2016,PAR,-6553184.11,0,4794533258,-0.001367
5/27/2016,PAR,42818993.92,0,4787980074,0.008943
5/31/2016,PAR,-6165722.61,0,4830799068,-0.001276
6/1/2016,PAR,17773543.9,0,4824633345,0.003684
6/2/2016,PAR,11130767.08,0,4842406889,0.002299
6/3/2016,PAR,-34258722.1,0,4853537656,-0.007059
6/6/2016,PAR,13409257.28,0,4819278934,0.002782
6/7/2016,PAR,26949299.75,0,4832688191,0.005576
6/8/2016,PAR,14937229.93,0,4859637491,0.003074
6/9/2016,PAR,-10054929.44,0,4874574721,-0.002063
6/10/2016,PAR,-48462367.4,0,4864519792,-0.009962
6/13/2016,PAR,-67482552.68,0,4816057424,-0.014012
6/14/2016,PAR,-20327181.5,0,4748574871,-0.004281
6/15/2016,PAR,11282028.23,0,4728247690,0.002386
6/16/2016,PAR,-7799952.49,0,4739529718,-0.001646
6/17/2016,PAR,33337952.92,0,4731729766,0.007046
6/20/2016,PAR,51885244.81,0,4765067719,0.010889
6/21/2016,PAR,17230037.15,0,4816952963,0.003577
6/22/2016,PAR,3891550.88,0,4834183001,0.000805
6/23/2016,PAR,38485122.71,0,4838074551,0.007955
6/24/2016,PAR,-195989204.5,0,4876559674,-0.04019
6/27/2016,PAR,-139492156.4,0,4680570470,-0.029802
6/28/2016,PAR,70958134.74,0,4541078313,0.015626
6/29/2016,PAR,108055893.7,0,4612036448,0.023429
6/30/2016,PAR,42954842.88,0,4720092342,0.0091
7/1/2016,PAR,617372.21,-5731812.49,4757315372,0.00013
7/5/2016,PAR,-48583772.41,0,4757932744,-0.010211
7/6/2016,PAR,5255629.55,0,4709348972,0.001116
7/7/2016,PAR,3505970.73,0,4714604601,0.000744
7/8/2016,PAR,88635215.88,0,4718110572,0.018786
7/11/2016,PAR,8754740.84,0,4806745788,0.001821
7/12/2016,PAR,71106162.2,0,4815500529,0.014766
7/13/2016,PAR,-14118582.36,0,4886606691,-0.002889
7/14/2016,PAR,40794417.01,0,4872488109,0.008372
7/15/2016,PAR,-7410089.04,0,4913282526,-0.001508
7/18/2016,PAR,23507374.79,0,4905872437,0.004792
7/19/2016,PAR,-6061141.67,0,4929379811,-0.00123
7/20/2016,PAR,48836373.87,0,4923318670,0.009919
7/21/2016,PAR,-36273278.62,0,4972155044,-0.007295
7/22/2016,PAR,41539621.25,0,4935881765,0.008416
7/25/2016,PAR,-19242907.85,0,4977421386,-0.003866
7/26/2016,PAR,15278458.3,0,4958178478,0.003081
7/27/2016,PAR,-32987579.16,0,4973456937,-0.006633
7/28/2016,PAR,47462327.82,0,4940469358,0.009607
7/29/2016,PAR,-31931483.07,0,4987931685,-0.006402
8/1/2016,PAR,16628256.77,0,4956000202,0.003355
8/2/2016,PAR,-72480629.97,0,4972628459,-0.014576
8/3/2016,PAR,14335563.29,0,4900147829,0.002926
8/4/2016,PAR,4440562.12,0,4914483392,0.000904
8/5/2016,PAR,65183401.92,0,4918923955,0.013252
8/8/2016,PAR,24239813.93,0,4984107356,0.004863
8/9/2016,PAR,-35157823.48,0,5008347170,-0.00702
8/10/2016,PAR,-3004006.82,0,4973189347,-0.000604
8/11/2016,PAR,7277787.24,0,4970185340,0.001464
8/12/2016,PAR,12723680.78,0,4977463127,0.002556
8/15/2016,PAR,26316465.36,0,4990186808,0.005274
8/16/2016,PAR,-29262819.08,0,5016503273,-0.005833
8/17/2016,PAR,-12951439.23,0,4987240454,-0.002597
8/18/2016,PAR,10752621.83,0,4974289015,0.002162
8/19/2016,PAR,-13703694.05,0,4985041637,-0.002749
8/22/2016,PAR,-11081110.89,0,4971337943,-0.002229
8/23/2016,PAR,30306168.69,0,4960256832,0.00611
8/24/2016,PAR,-38542825.71,0,4990563001,-0.007723
8/25/2016,PAR,-30230739.94,0,4952020175,-0.006105
8/26/2016,PAR,-29922407.89,0,4921789435,-0.00608
8/29/2016,PAR,17103506.8,0,4891867027,0.003496
8/30/2016,PAR,58344525.93,0,4908970534,0.011885
8/31/2016,PAR,13714480.41,0,4967315060,0.002761
9/1/2016,PAR,31293479.55,0,4981029540,0.006283
9/2/2016,PAR,15351146.4,0,5012323020,0.003063
9/6/2016,PAR,35598375.76,0,5027674166,0.00708
9/7/2016,PAR,62334878.89,0,5063272542,0.012311
9/8/2016,PAR,-1304828.19,0,5125607421,-0.000255
9/9/2016,PAR,-117230667,0,5124302593,-0.022877
9/12/2016,PAR,33790114.09,0,5007071926,0.006748
9/13/2016,PAR,-70732239.79,0,5040862040,-0.014032
9/14/2016,PAR,-32703947.28,0,4970129800,-0.00658
9/15/2016,PAR,25376525.68,0,4937425853,0.00514
9/16/2016,PAR,-37638624.75,0,4962802378,-0.007584
9/19/2016,PAR,16489536.8,0,4925163754,0.003348
9/20/2016,PAR,-13614979.79,0,4941653291,-0.002755
9/21/2016,PAR,33030942.73,0,4928038311,0.006703
9/22/2016,PAR,51815094.19,0,4961069253,0.010444
9/23/2016,PAR,-19230586.18,0,5012884348,-0.003836
9/26/2016,PAR,-22656848.23,0,4993653761,-0.004537
9/27/2016,PAR,65475072.54,0,4970996913,0.013171
9/28/2016,PAR,43589346.62,0,5036471986,0.008655
9/29/2016,PAR,-16678581.41,0,5080061332,-0.003283
9/30/2016,PAR,28313589.15,0,5063382751,0.005592
10/3/2016,PAR,25421597.88,0,5091696340,0.004993
